,USGS-01434000,USGS-01531000,USGS-04235500,USGS-04236500
1909-08-31,652.8448981785601,114.03194122598401,0.0,0.0
1909-09-30,476.5725281433601,111.73827665203201,0.0,0.0
1909-10-31,476.7141123763201,139.57373685196802,0.0,0.0
1909-11-30,454.20221933568007,132.126406198272,0.0,0.0
1909-12-31,1124.8867308672002,172.22306097254403,0.0,0.0
1910-01-31,5513.573199928321,1772.4930124262403,0.0,0.0
1910-02-28,3081.4392461414404,814.8455775313921,0.0,0.0
1910-03-31,17296.49623532544,9296.703904619522,0.0,0.0
1910-04-30,7644.699074442241,5489.4189297853445,0.0,0.0
1910-05-31,4958.279838259201,3724.3732480128006,0.0,0.0
1910-06-30,3428.6037853593607,1018.3304371415041,0.0,0.0
1910-07-31,843.8420284416002,255.19142148710404,0.0,0.0
1910-08-31,622.68745655808,115.39114986240001,0.0,0.0
1910-09-30,656.8092567014401,173.129200063488,0.0,0.0
1910-10-31,442.59231223296007,133.31571375513602,0.0,0.0
1910-11-30,1293.93830502144,223.84467230976003,0.0,0.0
1910-12-31,1244.5254077184002,173.46900222259202,0.0,0.0
1911-01-31,6324.567686323201,2853.0638783769605,0.0,0.0
1911-02-28,2003.7000648499202,1101.5253324288,0.0,0.0
1911-03-31,6565.544050821121,3028.7699114803204,0.0,0.0
1911-04-30,11487.295156976641,3920.1842421964807,0.0,0.0
1911-05-31,2686.9855731148805,830.4481600035841,0.0,0.0
1911-06-30,5616.646521523201,614.6171552793601,0.0,0.0
1911-07-31,989.6737883904001,114.48501077145602,0.0,0.0
1911-08-31,791.3142780134401,196.34901426892802,0.0,0.0
1911-09-30,1867.7792012083203,429.6515133404161,0.0,0.0
1911-10-31,6030.638818698241,1181.1523050455041,0.0,0.0
1911-11-30,4863.98473910784,804.4532948321281,0.0,0.0
1911-12-31,5667.05050845696,1863.2485057536003,0.0,0.0
1912-01-31,2541.1538131660805,618.43992956928,0.0,0.0
1912-02-29,2576.8330398720004,1228.1016366950403,0.0,0.0
1912-03-31,12458.846163548162,7157.649313059841,0.0,0.0
1912-04-30,15501.774498324483,7584.384191201281,0.0,0.0
1912-05-31,6144.189373532161,3367.4393967206406,0.0,0.0
1912-06-30,1618.4493669657602,595.7581354490881,0.0,0.0
1912-07-31,619.7141876659201,238.79596731033604,0.0,0.0
1912-08-31,1370.5353750528002,251.65181566310403,0.0,0.0
1912-09-30,1967.4545012121603,1865.5138534809603,0.0,0.0
1912-10-31,3489.7681739980803,1142.0750567485443,0.0,0.0
1912-11-30,4043.6456933376007,1428.1601578675202,0.0,0.0
1912-12-31,5782.300074086401,1836.9138384230403,0.0,0.0
1913-01-31,13059.729648230401,6340.425120414721,0.0,0.0
1913-02-28,2719.8331151616003,250.03775540736004,0.0,0.0
1913-03-31,13684.682452515843,6827.3332975641615,0.0,0.0
1913-04-30,7591.1802343833615,4172.770513797121,580.8917909882881,0.0
1913-05-31,3772.3703029862404,2240.85365505792,143.67967960780803,0.0
1913-06-30,2246.9417770752,710.5546315330561,114.99471401011202,0.0
1913-07-31,520.4636403609601,278.552819925504,107.40579912345602,0.0
1913-08-31,484.9259978880001,125.21709562982402,82.06222142361601,0.0
1913-09-30,612.7765602508802,121.81907403878402,70.79211648,0.0
1913-10-31,1895.8695130275844,986.5306184186882,65.355281934336,0.0
1913-11-30,5702.446566696961,2284.8863515084804,65.97825255936002,0.0
